California Patient Origin Report,,,,
Calendar Year 2022-2023,,,,
,,,,
FACILITY_NAME,- all -,,,
oshpd_id,- all -,,,
COUNTY_NAME,- all -,,,
pattype,- all -,,,
,,,,
Sum of discharges,year,,,
Row Labels,2022,2023,,
ALAMEDA,656879,706262,,
94501,24022,26578,,
94502,3977,4336,,
94536,24876,26350,,
94537,293,261,,
94538,25269,27651,,
94539,13056,13797,,
94540,246,256,,
94541,33504,37123,,
94542,5509,5620,,"Source: Patient Discharge Data, Emergency Department Data, and Ambulatory Surgery Data, 2022-2023"
94543,124,108,,Department of Health Care Access and Information
94544,37703,40496,,
94545,14952,15628,,
94546,18057,19199,,
94550,16670,17700,,
94551,14282,15006,,
94552,4309,4551,,
94555,9924,10459,,
94557,56,91,,
94560,19332,20225,,
94566,13296,14278,,
94568,18788,20408,,
94577,22334,23435,,
94578,21249,23148,,
94579,8659,9328,,
94580,12300,13577,,
94586,428,445,,
94587,27627,29017,,
94588,10008,10483,,
94601,28845,30627,,
94602,12967,13868,,
94603,23545,24597,,
94604,676,825,,
94605,26431,28011,,
94606,15882,17395,,
94607,13405,14954,,
94608,13321,14324,,
94609,9877,10850,,
94610,9378,10179,,
94611,12572,13727,,
94612,9250,10576,,
94613,88,60,,
94614,109,99,,
94615,44,40,,
94617,22,34,,
94618,4425,4930,,
94619,10031,10801,,
94620,127,111,,
94621,23891,25282,,
94622,10,5,,
94623,210,223,,
94624,45,74,,
94649,6,9,,
94659,1,4,,
94660,6,4,,
94661,32,45,,
94662,146,164,,
94666,13,15,,
94701,279,469,,
94702,6724,7264,,
94703,6799,7604,,
94704,4106,4853,,
94705,4617,4934,,
94706,5147,5384,,
94707,3860,4248,,
94708,3189,3766,,
94709,2354,2484,,
94710,3153,3455,,
94712,40,55,,
94720,406,359,,
ALPINE,183,238,,
95646,23,34,,
96120,160,204,,
AMADOR,29418,30555,,
95601,227,231,,
95629,546,585,,
95640,7712,8436,,
95642,7159,7158,,
95644,2,1,,
95654,2,14,,
95665,3698,3868,,
95666,3873,4115,,
95669,1593,1643,,
95675,274,300,,
95685,3304,3172,,
95689,962,983,,
95699,66,49,,
ARIZONA,19574,18871,,
ARIZONA,19574,18871,,
BUTTE,110830,117121,,
95914,431,455,,
95916,428,501,,
95917,1996,1899,,
95926,18869,19570,,
95927,470,700,,
95928,17206,18439,,
95929,24,39,,
95930,136,139,,
95938,1817,1704,,
95940,21,22,,
95941,259,273,,
95942,690,742,,
95948,7293,7349,,
95954,4780,5306,,
95958,78,62,,
95965,12986,13958,,
95966,19261,20813,,
95967,258,372,,
95968,1231,1195,,
95969,4371,5194,,
95973,17836,18027,,
95974,186,170,,
95976,36,15,,
95978,167,177,,
CALAVERAS,29971,30700,,
95221,505,801,,
95222,3233,3095,,
95223,1843,1942,,
95224,269,275,,
95225,496,527,,
95226,47,25,,
95228,2926,2859,,
95229,80,35,,
95232,177,259,,
95233,238,208,,
95245,1377,1405,,
95246,1171,1145,,
95247,2290,2364,,
95248,415,396,,
95249,3743,3862,,
95251,344,393,,
95252,8301,8623,,
95254,301,379,,
95255,1778,1648,,
95257,437,459,,
COLUSA,12754,13206,,
95912,2563,2702,,
95932,4818,4999,,
95950,306,300,,
95955,828,881,,
95970,304,308,,
95979,306,310,,
95987,3629,3706,,
CONTRA COSTA,539026,568048,,
94505,6049,6506,,
94506,7442,7566,,
94507,4928,5200,,
94509,48799,51332,,
94511,1574,1658,,
94513,29630,31129,,
94514,705,703,,
94516,73,89,,
94517,4793,4938,,
94518,12271,12810,,
94519,8922,9332,,
94520,24267,25378,,
94521,17253,18320,,
94522,243,210,,
94523,13739,13982,,
94524,276,274,,
94525,1557,1590,,
94526,10986,11285,,
94527,10,7,,
94528,425,326,,
94529,15,15,,
94530,8728,9541,,
94531,26119,28269,,
94547,9218,10154,,
94548,382,359,,
94549,8600,8788,,
94553,23343,25254,,
94556,4487,4931,,
94561,22794,24099,,
94563,5800,5912,,
94564,8699,8994,,
94565,59866,62651,,
94569,73,125,,
94570,98,83,,
94572,4943,4912,,
94575,55,46,,
94582,11915,11834,,
94583,12221,12565,,
94595,9133,9613,,
94596,8713,9161,,
94597,8481,8610,,
94598,9453,10106,,
94801,22458,24863,,
94802,296,231,,
94803,11472,12397,,
94804,25885,27775,,
94805,6288,6781,,
94806,35128,36955,,
94807,135,121,,
94808,75,63,,
94820,207,200,,
94850,4,5,,
DEL NORTE,19122,19983,,
95531,16331,17050,,
95532,267,269,,
95538,105,59,,
95543,289,304,,
95548,952,1112,,
95567,1178,1189,,
EL DORADO,90411,96610,,
95613,193,229,,
95614,1809,1908,,
95619,3386,3535,,
95623,2483,2707,,
95633,1536,1626,,
95634,1682,1849,,
95635,561,678,,
95636,314,382,,
95651,377,436,,
95656,328,388,,
95664,694,719,,
95667,20956,22540,,
95672,1914,2158,,
95682,13420,14438,,
95684,1605,1748,,
95709,2730,2901,,
95720,42,43,,
95721,9,7,,
95726,5065,5344,,
95735,29,27,,
95762,15517,16732,,
96142,342,361,,
96150,9887,10290,,
96151,3612,3629,,
96152,1,,,
96154,1,1,,
96155,248,248,,
96156,12,7,,
96158,1657,1677,,
96157,1,2,,
FRESNO,523001,528284,,
93210,10635,10782,,
93234,3680,4036,,
93242,1774,1815,,
93602,1368,1454,,
93605,40,45,,
93606,712,683,,
93607,18,18,,
93608,491,501,,
93609,3455,3500,,
93611,18941,19297,,
93612,18363,18470,,
93613,720,715,,
93616,1619,1697,,
93619,16655,17633,,
93621,309,334,,
93622,4133,4054,,
93624,287,277,,
93625,4587,4488,,
93626,894,1012,,
93627,95,78,,
93628,49,60,,
93630,8800,9019,,
93631,8762,8718,,
93634,13,11,,
93640,5758,5703,,
93641,147,169,,
93642,3,5,,
93646,7710,7377,,
93648,11655,11897,,
93649,66,61,,
93650,2440,2648,,
93651,703,777,,
93652,413,352,,
93654,20176,19094,,
93656,3112,3278,,
93657,18813,18824,,
93660,1811,1832,,
93662,22213,21784,,
93664,170,192,,
93667,960,1039,,
93668,491,461,,
93675,1800,1862,,
93701,9077,9211,,
93702,29123,29147,,
93703,20209,19675,,
93704,14493,14685,,
93705,22585,22720,,
93706,26522,27234,,
93707,69,74,,
93708,41,64,,
93709,67,49,,
93710,14828,14596,,
93711,15805,16267,,
93712,91,85,,
93714,82,100,,
93715,27,25,,
93716,32,23,,
93717,35,36,,
93718,95,342,,
93720,18419,20149,,
93721,4568,4472,,
93722,40384,40695,,
93723,5040,5556,,
93724,51,48,,
93725,14398,14297,,
93726,24085,23720,,
93727,39040,39376,,
93728,10351,10539,,
93729,437,478,,
93730,4311,4484,,
93737,2574,2653,,
93740,29,45,,
93741,1,1,,
93744,179,169,,
93745,92,100,,
93747,179,184,,
93750,19,19,,
93755,243,236,,
93760,12,9,,
93761,5,1,,
93764,8,1,,
93765,1,14,,
93771,39,46,,
93772,30,44,,
93773,27,53,,
93774,35,42,,
93775,39,41,,
93776,71,127,,
93777,32,32,,
93778,25,22,,
93779,22,21,,
93786,2,1,,
93790,95,81,,
93791,30,39,,
93792,35,28,,
93793,21,35,,
93794,47,41,,
93888,3,,,
GLENN,18623,18297,,
95913,236,197,,
95920,150,103,,
95939,301,264,,
95943,298,319,,
95951,1316,1311,,
95963,9597,9679,,
95988,6725,6424,,
HOMELESS,424268,,,
