Category,Subcategory,MDC_DESC,TransferPercent,TransferCount
Overall,,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.7%,198
Overall,,Burns,1.7%,33
Overall,,"Diseases & Disorders of Blood, Blood Forming Organs, Immunologic Disorders",1.3%,344
Overall,,Diseases & Disorders of the Circulatory System,2.9%,"9,468"
Overall,,Diseases & Disorders of the Digestive System,1.0%,"2,045"
Overall,,"Diseases & Disorders of the Ear, Nose, Mouth & Throat",0.8%,123
Overall,,Diseases & Disorders of the Eye,1.0%,33
Overall,,Diseases & Disorders of the Female Reproductive System,0.4%,96
Overall,,Diseases & Disorders of the Hepatobiliary System & Pancreas,1.6%,"1,508"
Overall,,Diseases & Disorders of the Kidney & Urinary Tract,1.0%,"1,174"
Overall,,Diseases & Disorders of the Male Reproductive System,0.6%,51
Overall,,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,1.1%,"2,146"
Overall,,Diseases & Disorders of the Nervous System,2.1%,"3,425"
Overall,,Diseases & Disorders of the Respiratory System,1.7%,"3,914"
Overall,,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",0.9%,435
Overall,,"Endocrine, Nutritional & Metabolic Diseases & Disorders",0.8%,822
Overall,,Factors Influencing Health Status & Other Contacts with Health Services,1.1%,131
Overall,,"Infectious & Parasitic Diseases, Systemic or Unspecified Sites",2.5%,"6,887"
Overall,,"Injuries, Poisonings & Toxic Effects of Drugs",1.5%,565
Overall,,Mental Diseases & Disorders,0.7%,77
Overall,,Multiple Significant Trauma,4.0%,381
Overall,,"Myeloproliferative Diseases & Disorders, Poorly Differentiated Neoplasms",1.9%,416
Overall,,Newborns & Other Neonates with Conditions Originating in Perinatal Period,4.2%,57
Overall,,Transplants and Tracheostomies (PRE-MDC),13.4%,"1,806"
Overall,,"Pregnancy, Childbirth & the Puerperium",0.4%,"1,304"
Sex,Female,Overall,1.3%,"16,739"
Sex,Male,Overall,2.0%,"20,969"
Sex,Female,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.6%,47
Sex,Male,Alcohol/Drug Use & Alcohol/Drug Induced Organic Mental Disorders,0.7%,151
Sex,Female,Burns,1.9%,12
